table,variable,value,label
hh,complete_sun,0,Not complete
hh,complete_sun,1,Complete
hh,complete_sun,995,Missing
hh,complete_mon,0,Not complete
hh,complete_mon,1,Complete
hh,complete_mon,995,Missing
hh,complete_tue,0,Not complete
hh,complete_tue,1,Complete
hh,complete_tue,995,Missing
hh,complete_wed,0,Not complete
hh,complete_wed,1,Complete
hh,complete_wed,995,Missing
hh,complete_thu,0,Not complete
hh,complete_thu,1,Complete
hh,complete_thu,995,Missing
hh,complete_fri,0,Not complete
hh,complete_fri,1,Complete
hh,complete_fri,995,Missing
hh,complete_sat,0,Not complete
hh,complete_sat,1,Complete
hh,complete_sat,995,Missing
hh,participation_group,1,"Signup survey completed via rMove for Web, Diary completed via rMove for Web"
hh,participation_group,2,"Signup survey completed via rMove for Web, Diary completed via Call Center"
hh,participation_group,3,"Signup survey completed via rMove for Web, Diary completed via rMove"
hh,participation_group,4,"Signup survey completed via Call Center, Diary completed via rMove for Web"
hh,participation_group,5,"Signup survey completed via Call Center, Diary completed via Call Center"
hh,participation_group,6,"Signup survey completed via Call Center, Diary completed via rMove"
hh,participation_group,7,"Signup survey completed via rMove, Diary completed via rMove for Web"
hh,participation_group,8,"Signup survey completed via rMove, Diary completed via Call Center"
hh,participation_group,9,"Signup survey completed via rMove, Diary completed via rMove"
hh,participation_group,995,Missing
hh,num_people,1,1
hh,num_people,2,2
hh,num_people,3,3
hh,num_people,4,4
hh,num_people,5,5
hh,num_people,6,6
hh,num_people,7,7
hh,num_people,8,8
hh,num_people,9,9
hh,num_people,10,10
hh,num_people,11,11
hh,num_people,12,12
hh,num_people,13,13
hh,num_people,995,Missing
hh,num_adults,1,1
hh,num_adults,2,2
hh,num_adults,3,3
hh,num_adults,4,4
hh,num_adults,5,5
hh,num_adults,6,6
hh,num_adults,7,7
hh,num_adults,8,8
hh,num_adults,9,9
hh,num_adults,995,Missing
hh,num_kids,0,0
hh,num_kids,1,1
hh,num_kids,2,2
hh,num_kids,3,3
hh,num_kids,4,4
hh,num_kids,5,5
hh,num_kids,6,6
hh,num_kids,7,7
hh,num_kids,8,8
hh,num_kids,9,9
hh,num_kids,10,10
hh,num_kids,11,11
hh,num_kids,995,Missing
hh,num_students,0,0
hh,num_students,1,1
hh,num_students,2,2
hh,num_students,3,3
hh,num_students,4,4
hh,num_students,5,5
hh,num_students,6,6
hh,num_students,7,7
hh,num_students,8,8
hh,num_students,9,9
hh,num_students,10,10
hh,num_students,11,11
hh,num_students,12,12
hh,num_students,995,Missing
hh,num_workers,0,0
hh,num_workers,1,1
hh,num_workers,2,2
hh,num_workers,3,3
hh,num_workers,4,4
hh,num_workers,5,5
hh,num_workers,6,6
hh,num_workers,7,7
hh,num_workers,8,8
hh,num_workers,995,Missing
hh,num_vehicles,0,0
hh,num_vehicles,1,1
hh,num_vehicles,2,2
hh,num_vehicles,3,3
hh,num_vehicles,4,4
hh,num_vehicles,5,5
hh,num_vehicles,6,6
hh,num_vehicles,7,7
hh,num_vehicles,8,8
hh,num_vehicles,995,Missing
hh,num_bicycles,0,0
hh,num_bicycles,1,1
hh,num_bicycles,2,2
hh,num_bicycles,3,3
hh,num_bicycles,4,4
hh,num_bicycles,5,5
hh,num_bicycles,6,6
hh,num_bicycles,7,7
hh,num_bicycles,8,8
hh,num_bicycles,995,Missing
hh,bicycle_type_1,0,Not selected
hh,bicycle_type_1,1,Selected
hh,bicycle_type_1,995,Missing
hh,bicycle_type_2,0,Not selected
hh,bicycle_type_2,1,Selected
hh,bicycle_type_2,995,Missing
hh,bicycle_type_3,0,Not selected
hh,bicycle_type_3,1,Selected
hh,bicycle_type_3,995,Missing
hh,bike_store_1,0,Not selected
hh,bike_store_1,1,Selected
hh,bike_store_1,995,Missing
hh,bike_store_2,0,Not selected
hh,bike_store_2,1,Selected
hh,bike_store_2,995,Missing
hh,bike_store_3,0,Not selected
hh,bike_store_3,1,Selected
hh,bike_store_3,995,Missing
hh,bike_store_4,0,Not selected
hh,bike_store_4,1,Selected
hh,bike_store_4,995,Missing
hh,bike_store_5,0,Not selected
hh,bike_store_5,1,Selected
hh,bike_store_5,995,Missing
hh,bike_store_6,0,Not selected
hh,bike_store_6,1,Selected
hh,bike_store_6,995,Missing
hh,bike_store_7,0,Not selected
hh,bike_store_7,1,Selected
hh,bike_store_7,995,Missing
hh,bike_store_997,0,Not selected
hh,bike_store_997,1,Selected
hh,bike_store_997,995,Missing
hh,micromobility_devices_1,0,Not selected
hh,micromobility_devices_1,1,Selected
hh,micromobility_devices_1,995,Missing
hh,micromobility_devices_2,0,Not selected
hh,micromobility_devices_2,1,Selected
hh,micromobility_devices_2,995,Missing
hh,micromobility_devices_3,0,Not selected
hh,micromobility_devices_3,1,Selected
hh,micromobility_devices_3,995,Missing
hh,micromobility_devices_4,0,Not selected
hh,micromobility_devices_4,1,Selected
hh,micromobility_devices_4,995,Missing
hh,micromobility_devices_5,0,Not selected
hh,micromobility_devices_5,1,Selected
hh,micromobility_devices_5,995,Missing
hh,micromobility_devices_6,0,Not selected
hh,micromobility_devices_6,1,Selected
hh,micromobility_devices_6,995,Missing
hh,home_in_region,0,Not in study region
hh,home_in_region,1,In study region
hh,home_county,995,Missing
hh,home_county,27001,Aitkin
hh,home_county,27003,Anoka
hh,home_county,27005,Becker
hh,home_county,27007,Beltrami
hh,home_county,27009,Benton
hh,home_county,27011,Big Stone
hh,home_county,27013,Blue Earth
hh,home_county,27015,Brown
hh,home_county,27017,Carlton
hh,home_county,27019,Carver
hh,home_county,27021,Cass
hh,home_county,27023,Chippewa
hh,home_county,27025,Chisago
hh,home_county,27027,Clay
hh,home_county,27029,Clearwater
hh,home_county,27031,Cook
hh,home_county,27033,Cottonwood
