Station,Date,Measurement,Value,a,b,c,d
USW00014922,19380409,TMAX,106,,,0,2400
USW00014922,19380410,TMAX,189,,,0,2400
USW00014922,19380411,TMAX,172,,,0,2400
USW00014922,19380412,TMAX,217,,,0,2400
USW00014922,19380413,TMAX,256,,,0,2400
USW00014922,19380414,TMAX,194,,,0,2400
USW00014922,19380415,TMAX,117,,,0,2400
USW00014922,19380416,TMAX,133,,,0,2400
USW00014922,19380417,TMAX,228,,,0,2400
USW00014922,19380418,TMAX,217,,,0,2400
USW00014922,19380419,TMAX,172,,,0,2400
USW00014922,19380420,TMAX,144,,,0,2400
USW00014922,19380421,TMAX,89,,,0,2400
USW00014922,19380422,TMAX,144,,,0,2400
USW00014922,19380423,TMAX,94,,,0,2400
USW00014922,19380424,TMAX,111,,,0,2400
USW00014922,19380425,TMAX,156,,,0,2400
USW00014922,19380426,TMAX,267,,,0,2400
USW00014922,19380427,TMAX,256,,,0,2400
USW00014922,19380428,TMAX,156,,,0,2400
USW00014922,19380429,TMAX,144,,,0,2400
USW00014922,19380430,TMAX,222,,,0,2400
USW00014922,19380409,TMIN,-17,,,0,2400
USW00014922,19380410,TMIN,11,,,0,2400
USW00014922,19380411,TMIN,61,,,0,2400
USW00014922,19380412,TMIN,28,,,0,2400
USW00014922,19380413,TMIN,78,,,0,2400
USW00014922,19380414,TMIN,78,,,0,2400
USW00014922,19380415,TMIN,72,,,0,2400
USW00014922,19380416,TMIN,106,,,0,2400
USW00014922,19380417,TMIN,106,,,0,2400
USW00014922,19380418,TMIN,72,,,0,2400
USW00014922,19380419,TMIN,11,,,0,2400
USW00014922,19380420,TMIN,-6,,,0,2400
USW00014922,19380421,TMIN,17,,,0,2400
USW00014922,19380422,TMIN,-6,,,0,2400
USW00014922,19380423,TMIN,39,,,0,2400
USW00014922,19380424,TMIN,56,,,0,2400
USW00014922,19380425,TMIN,44,,,0,2400
USW00014922,19380426,TMIN,117,,,0,2400
USW00014922,19380427,TMIN,156,,,0,2400
USW00014922,19380428,TMIN,39,,,0,2400
USW00014922,19380429,TMIN,17,,,0,2400
USW00014922,19380430,TMIN,44,,,0,2400
USW00014922,19380409,PRCP,0,,,0,
USW00014922,19380410,PRCP,0,,,0,
USW00014922,19380411,PRCP,0,,,0,
USW00014922,19380412,PRCP,0,,,0,
USW00014922,19380413,PRCP,0,,,0,
USW00014922,19380414,PRCP,267,,,0,
USW00014922,19380415,PRCP,64,,,0,
USW00014922,19380416,PRCP,193,,,0,
USW00014922,19380417,PRCP,58,,,0,
USW00014922,19380418,PRCP,0,,,0,
USW00014922,19380419,PRCP,0,T,,0,
USW00014922,19380420,PRCP,3,,,0,
USW00014922,19380421,PRCP,25,,,0,
USW00014922,19380422,PRCP,0,,,0,
USW00014922,19380423,PRCP,119,,,0,
USW00014922,19380424,PRCP,10,,,0,
